Day,Date,Phase(s),Lessons Covered,Est. Study Time (hrs),Resources (links),Daily Task,Assignment,Cumulative Project,Project Application Task,Milestone
1,2026-07-06,P0: Setup & Tooling,01 Dev Environment; 02 Git & Collaboration; 03 GPU Setup & Cloud; 04 APIs & Keys; 05 Jupyter Notebooks,5.75,https://aiengineeringfromscratch.com/catalog.html,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",Setup,"Set up the CartQ monorepo (FastAPI/Django + React), Docker Compose, and a GitHub repo with CI stub using today's tooling.",
2,2026-07-07,P0: Setup & Tooling,06 Python Environments; 07 Docker for AI; 08 Editor Setup; 09 Data Management,5,https://aiengineeringfromscratch.com/catalog.html,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",Setup,"Set up the CartQ monorepo (FastAPI/Django + React), Docker Compose, and a GitHub repo with CI stub using today's tooling.","PHASE 0 COMPLETE — checkpoint: review notes, run a small self-test/quiz, and push a phase-summary commit."
3,2026-07-08,P0: Setup & Tooling | P1: Math Foundations,"10 Terminal & Shell; 11 Linux for AI; 12 Debugging & Profiling; 01 Linear Algebra Intuition; 02 Vectors, Matrices & Operations; 03 Matrix Transformations & Eigenvalues",6,https://aiengineeringfromscratch.com/catalog.html,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",Setup,"Reproduce today's math concept in a Jupyter notebook using a CartQ dataset (e.g. order counts, prep times) instead of toy data.",
4,2026-07-09,P1: Math Foundations,04 Calculus for ML — Derivatives & Gradients; 05 Chain Rule & Automatic Differentiation; 06 Probability & Distributions; 07 Bayes' Theorem & Statistical Thinking; 08 Optimization — Gradient Descent Family,5.25,https://aiengineeringfromscratch.com/catalog.html,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",Setup,"Reproduce today's math concept in a Jupyter notebook using a CartQ dataset (e.g. order counts, prep times) instead of toy data.",
5,2026-07-11,P1: Math Foundations,"09 Information Theory — Entropy, KL Divergence; 10 Dimensionality Reduction — PCA, t-SNE, UMAP; 11 Singular Value Decomposition; 12 Tensor Operations; 13 Numerical Stability",5.25,https://aiengineeringfromscratch.com/catalog.html,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",Setup,"Reproduce today's math concept in a Jupyter notebook using a CartQ dataset (e.g. order counts, prep times) instead of toy data.",
6,2026-07-12,P1: Math Foundations,14 Norms & Distances; 15 Statistics for ML; 16 Sampling Methods; 17 Linear Systems; 18 Convex Optimization,5.25,https://aiengineeringfromscratch.com/catalog.html,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",Setup,"Reproduce today's math concept in a Jupyter notebook using a CartQ dataset (e.g. order counts, prep times) instead of toy data.","PHASE 1 COMPLETE — checkpoint: review notes, run a small self-test/quiz, and push a phase-summary commit."
7,2026-07-13,P1: Math Foundations | P2: ML Fundamentals,19 Complex Numbers for AI; 20 The Fourier Transform; 21 Graph Theory for ML; 22 Stochastic Processes; 01 What Is Machine Learning — Types & Taxonomy; 02 Linear Regression from Scratch,5.5,https://aiengineeringfromscratch.com/catalog.html,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",CartQ - Prep-Time Model,"Apply today's ML concept to the CartQ LightGBM prep-time prediction feature (feature engineering, evaluation, or tuning on synthetic order data).",
8,2026-07-14,P2: ML Fundamentals,03 Logistic Regression & Classification; 04 Decision Trees & Random Forests; 05 Support Vector Machines; 06 K-Nearest Neighbors & Distance Metrics,5,https://aiengineeringfromscratch.com/catalog.html,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",CartQ - Prep-Time Model,"Apply today's ML concept to the CartQ LightGBM prep-time prediction feature (feature engineering, evaluation, or tuning on synthetic order data).",
9,2026-07-15,P2: ML Fundamentals,"07 Unsupervised Learning — K-Means, DBSCAN; 08 Feature Engineering & Selection; 09 Model Evaluation — Metrics, Cross-Validation; 10 Bias, Variance & the Learning Curve; 11 Ensemble Methods — Boosting, Bagging, Stacking",5.75,https://aiengineeringfromscratch.com/catalog.html,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",CartQ - Prep-Time Model,"Apply today's ML concept to the CartQ LightGBM prep-time prediction feature (feature engineering, evaluation, or tuning on synthetic order data).",
10,2026-07-16,P2: ML Fundamentals,"12 Hyperparameter Tuning & AutoML; 13 ML Pipelines & Experiment Tracking; 14 Naive Bayes — Multinomial, Gaussian, Bernoulli; 15 Time Series Fundamentals; 16 Anomaly Detection",5.75,https://aiengineeringfromscratch.com/catalog.html,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",CartQ - Prep-Time Model,"Apply today's ML concept to the CartQ LightGBM prep-time prediction feature (feature engineering, evaluation, or tuning on synthetic order data).","PHASE 2 COMPLETE — checkpoint: review notes, run a small self-test/quiz, and push a phase-summary commit."
11,2026-07-18,P2: ML Fundamentals | P3: Deep Learning Core,17 Handling Imbalanced Data; 18 Feature Selection; 01 The Perceptron — Where It All Started; 02 Multi-Layer Networks & Forward Pass; 03 Backpropagation from Scratch,5.75,https://aiengineeringfromscratch.com/catalog.html,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",CartQ - Prep-Time Model,Extend the CartQ prep-time model notebook with today's deep learning concept (e.g. a small NN baseline to compare against LightGBM).,
